"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","positive regulation of sterol transport","GO:0032373","0.00021991462538268643","3.6577458870021853","34","875","12","16178","ENSG00000130203,ENSG00000141338,ENSG00000095970,ENSG00000100906,ENSG00000123384,ENSG00000182718,ENSG00000064687,ENSG00000025434,ENSG00000186350,ENSG00000111684,ENSG00000132170,ENSG00000131408"
"GO:BP","positive regulation of cholesterol transport","GO:0032376","0.00021991462538268643","3.6577458870021853","34","875","12","16178","ENSG00000130203,ENSG00000141338,ENSG00000095970,ENSG00000100906,ENSG00000123384,ENSG00000182718,ENSG00000064687,ENSG00000025434,ENSG00000186350,ENSG00000111684,ENSG00000132170,ENSG00000131408"
"GO:BP","tissue migration","GO:0090130","0.00022842543488168647","3.6412555395954116","270","896","38","16178","ENSG00000130203,ENSG00000197943,ENSG00000154229,ENSG00000145147,ENSG00000150760,ENSG00000048052,ENSG00000103811,ENSG00000120899,ENSG00000146122,ENSG00000115310,ENSG00000051382,ENSG00000169855,ENSG00000197256,ENSG00000135744,ENSG00000111961,ENSG00000164619,ENSG00000113578,ENSG00000124782,ENSG00000141646,ENSG00000135046,ENSG00000138685,ENSG00000081189,ENSG00000105220,ENSG00000185591,ENSG00000153233,ENSG00000105894,ENSG00000122194,ENSG00000106211,ENSG00000110880,ENSG00000144724,ENSG00000011465,ENSG00000112562,ENSG00000168615,ENSG00000112715,ENSG00000142208,ENSG00000132170,ENSG00000121879,ENSG00000163220"
"GO:BP","blood coagulation","GO:0007596","0.00023603592193279955","3.627021897411202","179","627","24","16178","ENSG00000130203,ENSG00000197943,ENSG00000172500,ENSG00000154229,ENSG00000213719,ENSG00000165025,ENSG00000051382,ENSG00000115956,ENSG00000149781,ENSG00000141968,ENSG00000136869,ENSG00000159176,ENSG00000136854,ENSG00000100605,ENSG00000109072,ENSG00000167397,ENSG00000134352,ENSG00000122194,ENSG00000106211,ENSG00000137076,ENSG00000158869,ENSG00000177119,ENSG00000254087,ENSG00000116266"
"GO:BP","calcium-ion regulated exocytosis","GO:0017156","0.0002536077073233595","3.595837552063404","50","694","13","16178","ENSG00000130477,ENSG00000149927,ENSG00000105649,ENSG00000176406,ENSG00000136854,ENSG00000067715,ENSG00000106089,ENSG00000084093,ENSG00000089169,ENSG00000116266,ENSG00000011347,ENSG00000173227,ENSG00000019505"
"GO:BP","positive regulation of cholesterol efflux","GO:0010875","0.00025468030793766476","3.594004633696103","23","875","10","16178","ENSG00000130203,ENSG00000141338,ENSG00000095970,ENSG00000100906,ENSG00000123384,ENSG00000064687,ENSG00000025434,ENSG00000186350,ENSG00000132170,ENSG00000131408"
"GO:BP","positive regulation of cysteine-type endopeptidase activity","GO:2001056","0.0002663475797265288","3.5745512452511767","119","896","23","16178","ENSG00000273079,ENSG00000183454,ENSG00000055163,ENSG00000145335,ENSG00000165025,ENSG00000169855,ENSG00000148180,ENSG00000064300,ENSG00000186010,ENSG00000168961,ENSG00000084093,ENSG00000165280,ENSG00000162511,ENSG00000165731,ENSG00000147488,ENSG00000075240,ENSG00000136938,ENSG00000156709,ENSG00000166949,ENSG00000132170,ENSG00000079387,ENSG00000143546,ENSG00000163220"
"GO:BP","regulation of body fluid levels","GO:0050878","0.00026663754802436814","3.574078693063334","249","627","29","16178","ENSG00000130203,ENSG00000197943,ENSG00000172500,ENSG00000154229,ENSG00000213719,ENSG00000165025,ENSG00000051382,ENSG00000115956,ENSG00000149781,ENSG00000141968,ENSG00000136869,ENSG00000159176,ENSG00000136854,ENSG00000100605,ENSG00000151702,ENSG00000105220,ENSG00000109072,ENSG00000167397,ENSG00000025434,ENSG00000178568,ENSG00000134352,ENSG00000138814,ENSG00000122194,ENSG00000106211,ENSG00000137076,ENSG00000158869,ENSG00000177119,ENSG00000254087,ENSG00000116266"
"GO:BP","regulation of sterol transport","GO:0032371","0.00028507873318032697","3.545035179768503","55","875","15","16178","ENSG00000130203,ENSG00000141338,ENSG00000095970,ENSG00000198911,ENSG00000100906,ENSG00000123384,ENSG00000130208,ENSG00000182718,ENSG00000064687,ENSG00000025434,ENSG00000186350,ENSG00000111684,ENSG00000169174,ENSG00000132170,ENSG00000131408"
"GO:BP","regulation of cholesterol transport","GO:0032374","0.00028507873318032697","3.545035179768503","55","875","15","16178","ENSG00000130203,ENSG00000141338,ENSG00000095970,ENSG00000198911,ENSG00000100906,ENSG00000123384,ENSG00000130208,ENSG00000182718,ENSG00000064687,ENSG00000025434,ENSG00000186350,ENSG00000111684,ENSG00000169174,ENSG00000132170,ENSG00000131408"
