"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","positive regulation of purine nucleotide catabolic process","GO:0033123","0.0024199674787448353","2.6161904703404635","19","2","2","16178","ENSG00000142192,ENSG00000080815"
"GO:BP","cholesterol efflux","GO:0033344","0.002456454522744885","2.6096912717098113","52","1612","18","16178","ENSG00000130203,ENSG00000073060,ENSG00000131408,ENSG00000064687,ENSG00000123384,ENSG00000132170,ENSG00000149357,ENSG00000165029,ENSG00000130208,ENSG00000160179,ENSG00000186350,ENSG00000087237,ENSG00000181092,ENSG00000234906,ENSG00000025434,ENSG00000005421,ENSG00000095970,ENSG00000100906"
"GO:BP","positive regulation of G2/M transition of mitotic cell cycle","GO:0010971","0.0024582135453614894","2.6093803925871653","22","274","6","16178","ENSG00000101224,ENSG00000135446,ENSG00000170312,ENSG00000108384,ENSG00000164045,ENSG00000158402"
"GO:BP","vascular process in circulatory system","GO:0003018","0.0025087666468133546","2.600539732752512","187","1514","39","16178","ENSG00000130203,ENSG00000159640,ENSG00000188778,ENSG00000123384,ENSG00000169252,ENSG00000149177,ENSG00000120907,ENSG00000043591,ENSG00000172572,ENSG00000069431,ENSG00000171873,ENSG00000073712,ENSG00000170425,ENSG00000117298,ENSG00000011405,ENSG00000119139,ENSG00000144891,ENSG00000118596,ENSG00000064651,ENSG00000167711,ENSG00000181856,ENSG00000158296,ENSG00000130234,ENSG00000204305,ENSG00000164867,ENSG00000112499,ENSG00000023839,ENSG00000133019,ENSG00000197122,ENSG00000171105,ENSG00000120937,ENSG00000070961,ENSG00000176105,ENSG00000157103,ENSG00000132693,ENSG00000079215,ENSG00000142168,ENSG00000135744,ENSG00000003989"
"GO:BP","negative regulation of phosphate metabolic process","GO:0045936","0.002625077686995463","2.5808578394830906","296","96","11","16178","ENSG00000130203,ENSG00000082701,ENSG00000166851,ENSG00000124762,ENSG00000129757,ENSG00000166311,ENSG00000120539,ENSG00000147889,ENSG00000147883,ENSG00000141510,ENSG00000196396"
"GO:BP","developmental cell growth","GO:0048588","0.0026973156780999807","2.5690682232786495","128","2470","41","16178","ENSG00000142192,ENSG00000164885,ENSG00000130203,ENSG00000082701,ENSG00000177169,ENSG00000105426,ENSG00000184347,ENSG00000186868,ENSG00000097007,ENSG00000125398,ENSG00000163110,ENSG00000049759,ENSG00000075223,ENSG00000107758,ENSG00000144868,ENSG00000105723,ENSG00000170017,ENSG00000160307,ENSG00000176697,ENSG00000187764,ENSG00000008086,ENSG00000134259,ENSG00000166925,ENSG00000106078,ENSG00000017427,ENSG00000148482,ENSG00000124785,ENSG00000147894,ENSG00000198689,ENSG00000112715,ENSG00000001617,ENSG00000198910,ENSG00000067715,ENSG00000078401,ENSG00000092421,ENSG00000130477,ENSG00000079805,ENSG00000040608,ENSG00000079841,ENSG00000140575,ENSG00000066084"
"GO:BP","negative regulation of phosphorus metabolic process","GO:0010563","0.0027128324711808535","2.56657702492185","297","96","11","16178","ENSG00000130203,ENSG00000082701,ENSG00000166851,ENSG00000124762,ENSG00000129757,ENSG00000166311,ENSG00000120539,ENSG00000147889,ENSG00000147883,ENSG00000141510,ENSG00000196396"
"GO:BP","response to retinoic acid","GO:0032526","0.002716434957143302","2.5660006893388685","64","1571","20","16178","ENSG00000082701,ENSG00000143171,ENSG00000118260,ENSG00000103811,ENSG00000105989,ENSG00000120899,ENSG00000149311,ENSG00000129355,ENSG00000128918,ENSG00000125398,ENSG00000143322,ENSG00000172819,ENSG00000186350,ENSG00000204231,ENSG00000131759,ENSG00000086696,ENSG00000115317,ENSG00000254087,ENSG00000139352,ENSG00000138207"
"GO:BP","pyruvate metabolic process","GO:0006090","0.002780143081168805","2.555932852368602","96","2528","34","16178","ENSG00000142192,ENSG00000080815,ENSG00000198793,ENSG00000091140,ENSG00000141959,ENSG00000164916,ENSG00000143437,ENSG00000067057,ENSG00000100644,ENSG00000167720,ENSG00000164708,ENSG00000106633,ENSG00000163114,ENSG00000089041,ENSG00000171105,ENSG00000181722,ENSG00000111537,ENSG00000186951,ENSG00000108515,ENSG00000017427,ENSG00000105220,ENSG00000004799,ENSG00000111640,ENSG00000152556,ENSG00000111674,ENSG00000111669,ENSG00000178951,ENSG00000067992,ENSG00000213585,ENSG00000100393,ENSG00000109107,ENSG00000151376,ENSG00000111716,ENSG00000106617"
"GO:BP","regulation of phospholipase C activity","GO:1900274","0.002836613046290515","2.547199904007663","36","857","11","16178","ENSG00000134853,ENSG00000102468,ENSG00000120907,ENSG00000091831,ENSG00000152266,ENSG00000157404,ENSG00000113721,ENSG00000097007,ENSG00000077782,ENSG00000064547,ENSG00000143322"
"GO:BP","regulation of cyclin-dependent protein serine/threonine kinase activity","GO:0000079","0.0028563901087793127","2.5441824794867807","61","2334","24","16178","ENSG00000176749,ENSG00000166851,ENSG00000124762,ENSG00000147889,ENSG00000147883,ENSG00000205339,ENSG00000164045,ENSG00000158402,ENSG00000185551,ENSG00000171450,ENSG00000129355,ENSG00000142208,ENSG00000082258,ENSG00000175305,ENSG00000111276,ENSG00000171862,ENSG00000146648,ENSG00000075624,ENSG00000101843,ENSG00000150457,ENSG00000107949,ENSG00000151694,ENSG00000129315,ENSG00000141052"
"GO:BP","glycerophospholipid metabolic process","GO:0006650","0.003016478260208565","2.520499800301325","271","229","16","16178","ENSG00000073060,ENSG00000100330,ENSG00000131408,ENSG00000143393,ENSG00000139505,ENSG00000115020,ENSG00000163719,ENSG00000051382,ENSG00000147246,ENSG00000145675,ENSG00000156471,ENSG00000104643,ENSG00000143398,ENSG00000102468,ENSG00000197943,ENSG00000168918"
"GO:BP","regulation of receptor-mediated endocytosis","GO:0048259","0.003042812289601419","2.516724838343368","85","2233","29","16178","ENSG00000010704,ENSG00000138756,ENSG00000051382,ENSG00000131238,ENSG00000120885,ENSG00000073921,ENSG00000100151,ENSG00000130208,ENSG00000182718,ENSG00000115977,ENSG00000100599,ENSG00000204842,ENSG00000061938,ENSG00000065609,ENSG00000171105,ENSG00000181092,ENSG00000106366,ENSG00000234906,ENSG00000169218,ENSG00000102081,ENSG00000107984,ENSG00000172932,ENSG00000137486,ENSG00000103154,ENSG00000112715,ENSG00000118473,ENSG00000166710,ENSG00000130787,ENSG00000163956"
"GO:BP","glial cell differentiation","GO:0010001","0.0030762943945743695","2.5119721058597855","118","2512","39","16178","ENSG00000142192,ENSG00000080815,ENSG00000164885,ENSG00000170312,ENSG00000136717,ENSG00000120885,ENSG00000123384,ENSG00000100151,ENSG00000030582,ENSG00000147862,ENSG00000186868,ENSG00000168610,ENSG00000151577,ENSG00000157368,ENSG00000125398,ENSG00000204305,ENSG00000122877,ENSG00000232810,ENSG00000100146,ENSG00000136244,ENSG00000111537,ENSG00000142168,ENSG00000189056,ENSG00000148400,ENSG00000095970,ENSG00000171862,ENSG00000038427,ENSG00000181449,ENSG00000138311,ENSG00000116106,ENSG00000105894,ENSG00000121966,ENSG00000197405,ENSG00000130164,ENSG00000106278,ENSG00000157933,ENSG00000146122,ENSG00000123560,ENSG00000114646"
"GO:BP","negative regulation of protein binding","GO:0032091","0.003200229422989153","2.4948188861905143","73","45","5","16178","ENSG00000010704,ENSG00000082701,ENSG00000124762,ENSG00000178999,ENSG00000087586"
