symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
TUBB2B	0.5675237639647489	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.933533497882293	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	No data	-0.8603875807459888	-0.8100362853664372	0	No data	No data	-0.9887650000000001	1	0
TUBB	0.5675237639647489	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.933533497882293	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	1	-0.7677641175244843	No data	-1	No data	No data	-0.9380624999999998	-1	-1
TUBB8	0.5675237639647489	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.933533497882293	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	No data	No data	No data	No data	0	No data	No data	-0.90428	0.5	0.5
TUBB4A	0.5675237639647489	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.933533497882293	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	No data	-0.29318608043342365	-0.7223711630726228	0	No data	No data	-0.9662175000000002	1	0
TUBB4B	0.5675237639647489	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.933533497882293	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	No data	-0.5708480933527817	-0.7066326738272694	0	No data	No data	-0.9606750000000002	-1	-1
TUBB1	0.5675237639647489	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.933533497882293	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.5898000000000003	No data	0.49906230464680146	-0.08949666429990372	0	No data	No data	-0.46785	0.5	0.5
OPRM1	0.5590888507227059	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9187468098918403	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	1	0	1	1	0	0.5625	0	0.4585330277141071	-0.7312691704091201	0	-1	No data	0	0.5	0.5
LPA	0.5582163205696453	0.8782505509374405	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7994581860590707	No data	No data	0.75	No data	No data	0	0	0	0	No data	0.6301312773494478	No data	0	-1	No data	0	1	0.5
VKORC1	0.5434774424209285	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8858564939197339	No data	No data	No data	No data	No data	No data	0.16245261869510544	No data	No data	1	0	0	1	1	0	0.2331299999999999	No data	0.13877891227339023	-0.8866630713005769	0	-1	No data	0	0.5	-1
GLP1R	0.5329738803535476	0.06912252070324788	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8386574222718315	No data	No data	No data	No data	No data	No data	0.6072772094344924	No data	No data	1	1	0	1	1	0	0.60043	No data	-0.5766826422171285	-0.2711127310234854	0	-1	No data	0	0.5	0.5
